eventCode,matchLevel,matchNumber,match_key,robot,teamNumber,autoStartingLocation,taxi,autoUpper,autoLower,autoPickedUpCargo,upper,lower,wasDefended,wallbot,pickupLoc,shootingLocations,climb,climbBeforeEndgame,defenseRating,heldCargo,speedRating,diedOrTipped,comments,autoCargo,autoScore,teleopCargo,teleopScore,totalCargo,taxiScore,autoUpperScore,autoLowerScore,upperScore,lowerScore,climbScore,endgameScore,totalScore,climbLevel,wasDefendedMetric,diedMetric,heldCargoMetric
2022ilch,qm,2,2022ilch_qm2,b3,2451,54,Y,5,0,N,2,0,Y,N,b,"[66,53]",3,Y,g,N,4,N,Intake was not functioning properly ,5,20,2,4,7,2,20,0,4,0,10,10,36,3,1,0,0
2022ilch,qm,2,2022ilch_qm2,r2,112,31,N,0,0,N,4,1,Y,N,g,"[19,7,7,45,45,58,57]",3,N,x,N,3,N,Easily defended. If u have a good D driver,0,0,5,9,5,0,0,0,8,1,10,10,19,3,1,0,0
2022ilch,qm,3,2022ilch_qm3,r1,2022,20,Y,1,0,Y,0,0,N,Y,x,,x,N,x,N,3,Y,died at the beginning and never got back up,1,4,0,0,1,2,4,0,0,0,0,0,6,0,0,1,0
2022ilch,qm,3,2022ilch_qm3,b1,3061,54,Y,5,0,Y,3,0,N,N,b,"[8,21]",3,N,a,N,5,N,Held 3 balls during auto,5,20,3,6,8,2,20,0,6,0,10,10,38,3,0,0,0
2022ilch,qm,3,2022ilch_qm3,r2,2220,19,Y,1,0,Y,2,0,Y,N,g,"[33,33,57,57]",4,N,x,N,3,N,Shooter not accurate,1,4,2,4,3,2,4,0,4,0,15,15,25,4,1,0,0
2022ilch,qm,3,2022ilch_qm3,b2,6651,41,N,0,0,N,2,0,N,N,g,"[64,51,65,28,45,67]",x,N,x,N,3,N,,0,0,2,4,2,0,0,0,4,0,0,0,4,0,0,0,0
2022ilch,qm,3,2022ilch_qm3,r3,5847,29,Y,0,0,Y,2,1,Y,N,g,"[27,15,34,29]",3,N,g,N,3,N,Decent shooter. Good climb ,0,0,3,5,3,2,0,0,4,1,10,10,17,3,1,0,0
2022ilch,qm,3,2022ilch_qm3,b3,1781,18,Y,0,0,N,5,0,Y,N,b,"[29,29,42,54,42,30]",4,N,e,Y,3,N,Good defensive tactics,0,0,5,10,5,2,0,0,10,0,15,15,27,4,1,0,1
2022ilch,qm,4,2022ilch_qm4,r1,2062,56,Y,0,0,Y,4,0,Y,N,g,"[56,17,53,7]",2,N,x,N,3,N,"unstable, driving isnt very smooth",0,0,4,8,4,2,0,0,8,0,6,6,16,2,1,0,0
2022ilch,qm,4,2022ilch_qm4,r2,4645,19,N,0,0,N,0,0,N,Y,x,,x,N,x,N,2,Y,"Shooter didn't work, didn't intake balls consistently",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022ilch,qm,4,2022ilch_qm4,b2,3488,30,Y,1,0,N,1,3,N,Y,g,"[42,42,54,42,30,30,31,21,30]",x,N,x,N,4,N,,1,4,4,5,5,2,4,0,2,3,0,0,11,0,0,0,0
2022ilch,qm,4,2022ilch_qm4,r3,7237,42,N,0,0,N,0,0,N,N,x,,x,N,x,N,3,Y,Had communication problems with robot ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022ilch,qm,4,2022ilch_qm4,b1,6381,42,Y,0,0,Y,6,0,N,Y,x,"[30,29,29,29,29,29,29,29,30,29,30]",1,N,x,N,2,N,Mech wheels,0,0,6,12,6,2,0,0,12,0,4,4,18,1,0,0,0
2022ilch,qm,4,2022ilch_qm4,b3,3695,55,Y,0,0,N,6,0,N,N,b,"[19,44,44,20,20,29,29]",3,N,a,N,1,N,"Slow robot overall, average shooter",0,0,6,12,6,2,0,0,12,0,10,10,24,3,0,0,0
2022ilch,qm,5,2022ilch_qm5,b1,5553,30,Y,1,0,N,1,1,N,N,x,"[54,64,50]",2,Y,x,N,3,N,,1,4,2,3,3,2,4,0,2,1,6,6,15,2,0,0,0
