id,match_id,robot_id,created_at,created_by,updated_at,updated_by,available,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14
50,Q17,7744,2023-04-07 16:25:11.089961,Ely,2023-04-07 16:25:11.089961,Ely,True,2,,,,,,0,,,,,,,0,1,1.0,0,,2,,,,,,0,,,,,,,0,1,1.0,0,
51,Q18,8086,2023-04-07 16:29:19.896357,Armando ,2023-04-07 16:29:19.896357,Armando ,True,3,1.0,,,,,,,0.0,,,,2,0,1,4.0,0,,3,1.0,,,,,,,0.0,,,,2,0,1,4.0,0,
54,Q18,31,2023-04-07 16:30:10.057896,Saris,2023-04-07 16:30:10.057896,Saris,True,3,,1.0,,['3'],['2'],1,,,,,,0,0,0,,1,,3,,1.0,,['3'],['2'],1,,,,,,0,0,0,,1,
57,Q19,3465,2023-04-07 16:36:47.004271,A,2023-04-07 16:36:47.004271,A,True,1,0.0,0.0,0.0,[],[],1,,1.0,1.0,"['2', '3']",['2'],2,0,0,,0,1.0,1,0.0,0.0,0.0,[],[],1,,1.0,1.0,"['2', '3']",['2'],2,0,0,,0,1.0
58,Q19,8711,2023-04-07 16:36:49.717295,Ely,2023-04-07 16:36:49.717295,Ely,True,2,,,,,,0,,2.0,2.0,"['2', '1']",['2'],,0,0,,0,,2,,,,,,0,,2.0,2.0,"['2', '1']",['2'],,0,0,,0,
59,Q19,3465,2023-04-07 16:36:49.927427,A,2023-04-07 16:36:49.927427,A,True,1,0.0,0.0,0.0,[],[],1,,1.0,1.0,"['2', '3']",['2'],2,0,0,,0,1.0,1,0.0,0.0,0.0,[],[],1,,1.0,1.0,"['2', '3']",['2'],2,0,0,,0,1.0
60,Q19,3160,2023-04-07 16:36:54.042772,Saris,2023-04-07 16:36:54.042772,Saris,True,2,,1.0,,['2'],['2'],1,,,3.0,"['2', '3']",['3'],0,0,1,8.0,0,,2,,1.0,,['2'],['2'],1,,,3.0,"['2', '3']",['3'],0,0,1,8.0,0,
61,Q19,3160,2023-04-07 16:38:36.408520,Ely,2023-04-07 16:38:36.408520,Ely,True,3,1.0,0.0,0.0,['1'],['1'],1,2,,2.0,"['1', '2', '3']",['1'],2,0,1,3.0,0,,3,1.0,0.0,0.0,['1'],['1'],1,2,,2.0,"['1', '2', '3']",['1'],2,0,1,3.0,0,
62,Q20,9244,2023-04-07 16:43:35.848359,A,2023-04-07 16:43:35.848359,A,True,1,,,,,,0,,1.0,,,['1'],,,,,,,1,,,,,,0,,1.0,,,['1'],,,,,,
63,Q20,3163,2023-04-07 16:43:39.780901,A,2023-04-07 16:43:39.780901,A,True,1,,,,,,0,,,1.0,,['2'],,,,,,,1,,,,,,0,,,1.0,,['2'],,,,,,
